air_rifle_1v_10m
7.634481,80;5.765734,38
7.626666,-212;3.852633,83
5.717895,-157;4.853597,25
5.724026,-155;2.843461,-42
6.555108,89;7.626666,73
5.885512,-124;7.585410,23
6.777299,0;6.481969,14
4.498878,69;5.784970,-18
3.753025,-185;9.444444,-53
7.855527,-142;6.600654,-101
5.333003,-89;4.682895,-79
8.483628,-117;5.285300,-68
5.820021,-203;4.284254,-21
4.775119,-7;2.392945,18
5.312217,84;5.003087,-28
9.244363,-162;5.741385,14
8.551288,-212;2.791252,12
7.490143,-173;4.597097,85
5.610760,-90;6.903806,9
7.305126,14;7.512376,-23

