air_rifle_1v_10m
0.342612,-243;5.356512,-113
2.454983,-244;7.275759,-115
4.063014,-179;5.788762,-245
6.603356,-195;8.148099,-242
1.618596,77;5.235203,-123
6.725325,-184;9.104649,-113
7.240214,-227;7.769817,-200
9.457176,-171;7.682264,-78
3.892154,-194;5.431875,-211
6.762819,-231;7.297078,-70
5.981101,-210;5.635417,-88
1.256644,-242;5.259667,-172
5.805356,-240;9.376783,-186
3.657177,-242;4.538641,-2
6.597470,34;8.860912,-61
9.290909,-143;6.2,-103
6.692425,-260;3.849364,-156
6.066134,-194;6.744259,-91
1.941057,-178;8.090909,-90
4.662907,-249;7.722971,-66

