air_rifle_1v_10m
6.017194,-182;5.541746,87
7.863932,-149;7.202657,77
3.339695,-222;5.078231,-75
6.632355,-246;4.754192,-122
6.366671,-213;5.341408,-107
5.059667,-219;5.926489,-180
5.709422,-201;6.255622,-176
4.369469,-154;8.508993,-126
4.578978,-181;8.412341,-68
1.289054,-181;5.509422,-158
-0.544131,-190;6.427840,20
-0.550705,-174;2.457284,-164
-0.917072,-79;5.431631,12
3.463405,-143;8.434135,-209
3.413638,-200;9.504649,-203
6.807809,-160;8.116289,-177
7.820012,-94;7.899936,-233
6.549887,-219;9.900000,-225
3.868620,-208;6.641191,-30
3.610339,-197;6.509091,-216

